BKG_DATE,INV_AMT,INV_AMT_Q,INV_AMT_DIFF,ITEM_AMT,ITEM_AMT_Q,ITEM_AMT_DIFF,weekday,holiday,holiday_diff,ITEM_CD_COUNT
2021-05-29,0.00973903805173653,1.0,1.0,0.016500356192869152,1.0,1.0,0,0,0,1695
2021-05-30,0.06554631971705188,1.0,1.0,0.08528595612419135,1.0,1.0,0,0,0,3588
2021-05-31,0.062425435239423135,1.0,1.0,0.07910330505624044,1.0,1.0,1,0,0,3295
2021-06-01,0.063030923160495,1.0,1.0,0.07773779083298449,1.0,1.0,0,0,0,3206
2021-06-02,0.18160735165182174,2.0,1.0,0.1801246843206773,1.0,1.0,0,0,0,4962
2021-06-03,0.0383791551700068,1.0,2.0,0.04589844735340189,1.0,1.0,0,0,0,2394
2021-06-04,0.018416847302792826,1.0,1.0,0.025388244899389047,1.0,1.0,0,0,0,1816
2021-06-05,0.011921962544803329,1.0,1.0,0.018056695754946235,1.0,1.0,0,0,1,1707
2021-06-06,0.11847678881214038,1.0,1.0,0.14870633540457887,1.0,1.0,0,1,0,4523
2021-06-07,0.4959061692548631,1.0,1.0,0.5473223197314933,1.0,1.0,1,0,0,14664
2021-06-08,0.5950705734447378,1.0,1.0,0.5985240331868591,1.0,1.0,0,0,0,19274
2021-06-09,0.13762108593083286,1.0,1.0,0.1515865476078168,1.0,1.0,0,0,0,5605
2021-06-10,0.1437521760784037,1.0,1.0,0.13716046168243515,1.0,1.0,0,0,0,4214
2021-06-11,0.12826127287355127,1.0,1.0,0.14178367629335908,1.0,1.0,0,0,0,3754
2021-06-12,0.21496065387119276,1.0,1.0,0.21610917174077365,1.0,1.0,0,0,0,4924
2021-06-13,1.0,2.0,1.0,0.8552208770413159,2.0,1.0,0,0,0,20069
2021-06-14,0.045935050908461464,1.0,2.0,0.058933194947638996,1.0,2.0,1,0,0,6728
2021-06-15,0.0467819271918854,1.0,1.0,0.06496101791806808,1.0,1.0,0,0,0,3703
2021-06-16,0.050477918026986576,1.0,1.0,0.05664933482192971,1.0,1.0,0,0,0,2399
2021-06-17,0.02231704023312757,1.0,1.0,0.03767589156192363,1.0,1.0,0,0,0,2073
2021-06-18,0.017300091772884295,1.0,1.0,0.027431829266916015,1.0,1.0,0,0,0,1785
2021-06-19,0.011735011810604136,1.0,1.0,0.01254795233805412,1.0,1.0,0,0,0,1513
2021-06-20,0.04037675822408321,1.0,1.0,0.047971452222952855,1.0,1.0,0,0,0,2348
2021-06-21,0.04939446285155953,1.0,1.0,0.06988356574086935,1.0,1.0,1,0,0,2780
2021-06-22,0.04600481436694741,1.0,1.0,0.06873395171554494,1.0,1.0,0,0,0,2732
2021-06-23,0.04729762962030111,1.0,1.0,0.06696702329687512,1.0,1.0,0,0,0,2894
2021-06-24,0.05435264341777413,1.0,1.0,0.07656784719081158,1.0,1.0,0,0,0,2603
2021-06-25,0.09070205398276726,1.0,1.0,0.10760809187348458,1.0,1.0,0,0,0,3087
2021-06-26,0.024046985806913196,1.0,1.0,0.037662088734431894,1.0,1.0,0,0,0,1766
2021-06-27,0.03359738283958151,1.0,1.0,0.043960190714117005,1.0,1.0,0,0,0,2292
2021-06-28,0.039689343763715315,2.0,1.0,0.04849169727458925,2.0,1.0,1,0,0,2356
2021-06-29,0.05569608880192112,2.0,2.0,0.06554406666729048,2.0,2.0,0,0,0,2660
2021-06-30,0.04065245762671475,2.0,2.0,0.05353077825735989,2.0,2.0,0,0,0,2339
