BKG_DATE,INV_AMT,INV_AMT_Q,INV_AMT_DIFF,ITEM_AMT,ITEM_AMT_Q,ITEM_AMT_DIFF,weekday,holiday,holiday_diff,ITEM_CD_COUNT
2021-03-01,0.04634342896050277,1.0,1.0,0.04431854807974365,1.0,1.0,1,1,0,2190
2021-03-02,0.062011934055923146,1.0,1.0,0.09231898790542642,1.0,1.0,0,0,0,3822
2021-03-03,0.030989874470471426,1.0,1.0,0.03893752660457537,1.0,1.0,0,0,0,1844
2021-03-04,0.021193018220843962,1.0,1.0,0.026802776642712127,1.0,1.0,0,0,0,1698
2021-03-05,0.006190424374158739,1.0,1.0,0.007536843309669611,1.0,1.0,0,0,0,1501
2021-03-06,0.004584810579140994,1.0,1.0,0.0,1.0,1.0,0,0,0,1159
2021-03-07,0.025674006972669042,1.0,1.0,0.02561406848113853,1.0,1.0,0,0,0,1791
2021-03-08,0.026413131952097005,1.0,1.0,0.03468495703924055,1.0,1.0,1,0,0,1892
2021-03-09,0.022696657303969664,1.0,1.0,0.02748306123337204,1.0,1.0,0,0,0,1970
2021-03-10,0.03490200394859258,1.0,1.0,0.03548327328742625,1.0,1.0,0,0,0,1893
2021-03-11,0.017790195969623765,1.0,1.0,0.022969386793820955,1.0,1.0,0,0,0,1840
2021-03-12,0.03949001212849096,1.0,1.0,0.037693723682844786,1.0,1.0,0,0,0,1917
2021-03-13,0.05971170902063126,1.0,1.0,0.06412632147920755,1.0,1.0,0,0,0,2530
2021-03-14,0.09617321858111336,1.0,1.0,0.10819347161890583,1.0,1.0,0,0,0,3577
2021-03-15,0.05203266644537875,1.0,1.0,0.05484799090938123,1.0,1.0,1,0,0,2546
2021-03-16,0.03784247229847454,1.0,1.0,0.04435031622793933,1.0,1.0,0,0,0,2101
2021-03-17,0.049317938253597496,1.0,1.0,0.06509245280373721,1.0,1.0,0,0,0,2613
2021-03-18,0.030309465108220524,1.0,1.0,0.035118205982741506,1.0,1.0,0,0,0,2091
2021-03-19,0.010172909781750852,1.0,1.0,0.010848905858689216,1.0,1.0,0,0,0,1577
2021-03-20,0.01948596990806758,1.0,1.0,0.01920637638016203,1.0,1.0,0,0,0,1465
2021-03-21,0.09236300282522403,1.0,1.0,0.10471147944699047,1.0,1.0,0,0,0,2753
2021-03-22,0.4553477838226373,1.0,1.0,0.5143131158596019,1.0,1.0,1,0,0,13282
2021-03-23,0.9446670262094266,2.0,1.0,1.0,2.0,1.0,0,0,0,25333
2021-03-24,0.15073897729732214,1.0,2.0,0.1693190350914495,1.0,2.0,0,0,0,3999
2021-03-25,0.10207853371934908,1.0,1.0,0.10940011180123768,1.0,1.0,0,0,0,3130
2021-03-26,0.1762455502270632,1.0,1.0,0.24485774746047123,1.0,1.0,0,0,0,8666
2021-03-27,0.1334799577041934,1.0,1.0,0.1694349688523963,1.0,1.0,0,0,0,3624
2021-03-28,0.1136373725399962,1.0,1.0,0.11650781871070004,1.0,1.0,0,0,0,3250
2021-03-29,0.06375027006439367,1.0,1.0,0.07841011673662265,1.0,1.0,1,0,0,3401
2021-03-30,0.033712339636292346,1.0,1.0,0.04296875143085704,1.0,1.0,0,0,0,2303
2021-03-31,0.04478021169214827,1.0,1.0,0.05727878704548197,1.0,1.0,0,0,0,2479
2021-04-01,0.030551803166710356,1.0,1.0,0.036929057029786695,1.0,1.0,0,0,0,1936
2021-04-02,0.009871908382935564,1.0,1.0,0.009570154643948822,1.0,1.0,0,0,0,1465
2021-04-03,0.011723763574697385,1.0,1.0,0.011452717124054178,1.0,1.0,0,0,0,1460
2021-04-04,0.026749063000602577,1.0,1.0,0.03383117973149521,1.0,1.0,0,0,0,1818
2021-04-05,0.04803840132055509,1.0,1.0,0.04868170676474078,1.0,1.0,1,0,0,2235
2021-04-06,0.0680642081368693,1.0,1.0,0.07817735011619517,1.0,1.0,0,0,0,2689
